order_id,order_date,customer_id,product_id,quantity,selling_price,discount,returned,product_name,category,sub_category,cost_price,customer_name,city,state,region,revenue,cost,profit,profit_margin,order_year,order_month,month_name,order_quarter,return_flag,customer_type
O000001,2025-04-01,C09047,P0276,1,5013.14,0.05,No,Vacuum Cleaner 276,Home & Kitchen,Kitchen & Home,3452.43,Kavya Yadav,Patna,Bihar,East,4762.48,3452.43,1310.05,27.51,2025,4,April,Q2,0,Returning Customer
O000002,2025-09-30,C07294,P0142,2,8087.47,0.05,No,Webcam 142,Electronics,Gadgets,5146.85,Rohan Yadav,Pune,Maharashtra,West,15366.19,10293.7,5072.49,33.01,2025,9,September,Q3,0,Returning Customer
O000003,2025-10-01,C05878,P0411,3,15202.78,0.2,No,SQL Complete Guide 411,Books,Books,12461.36,Aditya Gupta,Delhi,Delhi,North,36486.67,37384.08,-897.41,-2.46,2025,10,October,Q4,0,Returning Customer
O000004,2025-03-02,C09716,P0242,3,8897.58,0.15,No,Wireless Mouse 242,Electronics,Gadgets,7291.68,Priya Patel,Bhubaneswar,Odisha,East,22688.83,21875.04,813.79,3.59,2025,3,March,Q1,0,Returning Customer
O000005,2025-03-09,C05071,P0424,1,6838.02,0.05,No,Leadership Skills 424,Books,Books,4320.63,Rahul Rajput,Hyderabad,Telangana,South,6496.12,4320.63,2175.49,33.49,2025,3,March,Q1,0,Returning Customer
O000006,2025-12-21,C05382,P0492,3,3271.17,0.25,No,Machine Learning Guide 492,Books,Books,2170.75,Isha Gupta,Kochi,Kerala,South,7360.13,6512.25,847.88,11.52,2025,12,December,Q4,0,Returning Customer
O000007,2025-04-03,C09770,P0451,1,1110.87,0.25,No,Monitor 451,Electronics,Gadgets,835.83,Riya Rajput,Delhi,Delhi,North,833.15,835.83,-2.68,-0.32,2025,4,April,Q2,0,Returning Customer
O000008,2025-08-15,C09233,P0209,1,10967.3,0.15,No,Keyboard 209,Electronics,Gadgets,8987.22,Aman Mishra,Delhi,Delhi,North,9322.2,8987.22,334.99,3.59,2025,8,August,Q3,0,Returning Customer
O000009,2025-12-15,C01447,P0055,1,16140.95,0.15,Yes,Skipping Rope 55,Sports,Fitness,12080.64,Rahul Kumar,Jaipur,Rajasthan,North,13719.81,12080.64,1639.17,11.95,2025,12,December,Q4,1,Returning Customer
O000010,2025-01-10,C08983,P0115,2,9179.53,0.1,No,Track Pants 115,Fashion,Clothing,7574.68,Rahul Verma,Chandigarh,Chandigarh,North,16523.15,15149.36,1373.79,8.31,2025,1,January,Q1,0,Returning Customer
O000011,2025-05-09,C02340,P0227,1,12236.48,0.25,No,Web Development 227,Books,Books,9015.57,Pooja Singh,Chennai,Tamil Nadu,South,9177.36,9015.57,161.79,1.76,2025,5,May,Q2,0,Returning Customer
O000012,2025-10-09,C06375,P0001,2,7612.3,0.1,Yes,Cookware Set 1,Home & Kitchen,Kitchen & Home,5929.42,Ankit Patel,Kochi,Kerala,South,13702.14,11858.84,1843.3,13.45,2025,10,October,Q4,1,Returning Customer
O000013,2025-01-20,C09347,P0238,3,21968.88,0.0,No,Bedside Table 238,Furniture,Home Furniture,14002.43,Aarav Verma,Lucknow,Uttar Pradesh,North,65906.64,42007.29,23899.35,36.26,2025,1,January,Q1,0,Returning Customer
O000014,2025-03-01,C02751,P0093,3,19143.41,0.05,No,Face Serum 93,Beauty,Personal Care,14565.22,Aditya Kumar,Lucknow,Uttar Pradesh,North,54558.72,43695.66,10863.06,19.91,2025,3,March,Q1,0,Returning Customer
O000015,2025-07-12,C08548,P0305,1,14699.06,0.2,No,Dinner Set 305,Home & Kitchen,Kitchen & Home,10249.79,Rohan Kumar,Ahmedabad,Gujarat,West,11759.25,10249.79,1509.46,12.84,2025,7,July,Q3,0,Returning Customer
O000016,2025-12-15,C07513,P0222,2,19725.69,0.05,No,Digital Marketing 222,Books,Books,13398.3,Pooja Mishra,Bhubaneswar,Odisha,East,37478.81,26796.6,10682.21,28.5,2025,12,December,Q4,0,Returning Customer
O000017,2025-09-22,C09467,P0455,2,14048.14,0.25,No,Bookshelf 455,Furniture,Home Furniture,12030.69,Aarav Yadav,Kochi,Kerala,South,21072.21,24061.38,-2989.17,-14.19,2025,9,September,Q3,0,Returning Customer
O000018,2025-07-19,C08124,P0144,4,11573.74,0.25,No,Water Bottle 144,Home & Kitchen,Kitchen & Home,8507.07,Pooja Kumar,Pune,Maharashtra,West,34721.22,34028.28,692.94,2.0,2025,7,July,Q3,0,Returning Customer
O000019,2025-10-20,C04038,P0375,2,3824.38,0.25,No,Backpack 375,Fashion,Clothing,3171.22,Vikash Mishra,Kochi,Kerala,South,5736.57,6342.44,-605.87,-10.56,2025,10,October,Q4,0,Returning Customer
O000020,2025-08-27,C09739,P0065,1,16123.27,0.1,No,Lip Balm 65,Beauty,Personal Care,10908.76,Rohan Mishra,Bhubaneswar,Odisha,East,14510.94,10908.76,3602.18,24.82,2025,8,August,Q3,0,Returning Customer
